State Code,Dist.Code,State,Area Name,No_HH,F_SC,M_ST,F_ST,M_LIT,M_ILL,MAINWORK_M,MAIN_CL_M,MAIN_AL_M,MAIN_HH_M,MARGWORK_M,MARG_HH_F,MARG_OT_F,MARGWORK_3_6_M,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_F,MARG_CL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_M,MARG_HH_0_3_F
9,173,Uttar Pradesh,Pratapgarh,101460.0,64545.125,38.0,47.0,147255.0,60896.25,34833.0,11017.0,7648.0,2214.0,20094.375,2148.625,9166.0,118734.5,16859.5,31227.75,2111.75,4401.625,603.0,1606.5,7141.0,3550.75,1258.375,1400.25,3829.875
9,174,Uttar Pradesh,Kaushambi,33861.0,31153.0,2.0,15.0,42720.0,24699.0,19453.0,4495.0,8295.0,735.0,9087.0,1033.0,2684.0,38879.0,7467.0,12121.0,686.0,1534.0,500.0,810.0,2190.0,1620.0,468.0,1007.0,2239.0
9,175,Uttar Pradesh,Allahabad ,134399.0,64545.125,341.0,568.0,163026.75,60896.25,80145.0,14668.0,11161.0,2466.875,20094.375,2148.625,9393.625,118734.5,16859.5,31227.75,2111.75,4401.625,603.0,1606.5,7776.0,3550.75,1258.375,1400.25,3829.875
9,176,Uttar Pradesh,Bara Banki,58975.0,39271.0,3.0,20.0,72083.0,45955.0,40405.0,15695.0,11114.0,2466.875,14676.0,1644.0,3421.0,62957.0,12165.0,15834.0,1615.0,2838.0,603.0,1322.0,2881.0,2511.0,986.0,1400.25,2313.0
9,177,Uttar Pradesh,Faizabad,64460.0,40352.0,55.0,109.0,90836.0,42261.0,31491.0,10428.0,6522.0,1555.0,18960.0,1538.0,5351.0,82646.0,14799.0,18841.0,2111.75,4055.0,603.0,1085.0,4271.0,3550.75,1258.375,1400.25,3512.0
9,178,Uttar Pradesh,Ambedkar Nagar,51086.0,40244.0,19.0,24.0,85525.0,34269.0,25086.0,8203.0,5907.0,1982.0,17238.0,1663.0,4905.0,77470.0,13520.0,16923.0,1927.0,2903.0,603.0,1110.0,3864.0,3550.75,1001.0,1400.25,3615.0
9,179,Uttar Pradesh,Sultanpur,97323.0,60597.0,24.0,58.0,143950.0,60896.25,41604.0,13489.0,11249.0,2466.875,20094.375,2148.625,7017.0,118734.5,16859.5,29953.0,2111.75,4401.625,603.0,1606.5,5425.0,3550.75,1258.375,1400.25,3829.875
9,180,Uttar Pradesh,Bahraich,56442.0,22386.0,255.0,400.0,60445.0,60896.25,34382.0,12983.0,10676.0,1013.0,16536.0,983.0,2896.0,71075.0,13660.0,14467.0,1675.0,2581.0,455.0,681.0,2379.0,2876.0,717.0,1400.25,2417.0
9,181,Uttar Pradesh,Shrawasti,14731.0,6595.0,99.0,157.0,14865.0,15721.0,7420.0,3519.0,2377.0,319.0,4840.0,457.0,1052.0,18326.0,4013.0,5006.0,576.0,1007.0,178.0,357.0,865.0,827.0,308.0,450.0,780.0
9,182,Uttar Pradesh,Balrampur,35562.0,12506.0,809.0,1115.0,42910.0,40601.0,20525.0,8345.0,6422.0,746.0,11690.0,733.0,2161.0,51296.0,9741.0,12996.0,1210.0,3052.0,403.0,512.0,1745.0,1949.0,687.0,1191.0,2050.0
9,183,Uttar Pradesh,Gonda,62803.0,31429.0,17.0,39.0,84263.0,59892.0,36290.0,14743.0,11157.0,1671.0,19770.0,1895.0,4527.0,88095.0,15917.0,18670.0,2111.75,4006.0,603.0,1362.0,3660.0,3550.75,1258.375,1400.25,2890.0
9,184,Uttar Pradesh,Siddharthnagar,51532.0,24531.0,592.0,883.0,67853.0,49479.0,19885.0,7933.0,6370.0,825.0,17762.0,1024.0,3369.0,79685.0,13829.0,20873.0,2111.75,4401.625,531.0,686.0,2687.0,3550.75,1258.375,1400.25,3829.875
9,185,Uttar Pradesh,Basti,53761.0,34711.0,155.0,191.0,80639.0,41142.0,23227.0,10079.0,5033.0,1069.0,16267.0,1039.0,3205.0,82287.0,12712.0,17027.0,2111.75,4172.0,556.0,739.0,2543.0,3550.75,1258.375,1400.25,3355.0
9,186,Uttar Pradesh,Sant Kabir Nagar,37815.0,25055.0,71.0,84.0,57921.0,30714.0,15051.0,5040.0,4341.0,851.0,13814.0,812.0,2532.0,59770.0,10631.0,13880.0,1427.0,2317.0,492.0,586.0,1977.0,3183.0,1061.0,1400.25,3209.0
9,187,Uttar Pradesh,Mahrajganj,48067.0,26745.0,649.0,878.0,72678.0,38631.0,20533.0,6003.0,7149.0,874.0,20094.375,1367.0,3841.0,68299.0,16859.5,23306.0,2104.0,3530.0,603.0,871.0,3021.0,3550.75,1211.0,1400.25,3829.875
9,188,Uttar Pradesh,Gorakhpur,106010.0,64545.125,1029.0,1507.0,163026.75,60896.25,52488.0,9741.0,11159.0,2466.875,20094.375,2148.625,9393.625,118734.5,16859.5,28605.0,2111.75,4035.0,603.0,1606.5,7776.0,3550.75,1258.375,1400.25,3829.875
